Res R number,Reservoir name,Reservoir risk designation
RES/R/1143592,Aberdeen Forehill,High
RES/R/1141201,Achanalt Headpond,Low
RES/R/1128215,Acreknowe,High
RES/R/1127948,Afton,High
RES/R/1128010,Aigas Reservoir,High
RES/R/1128259,Airthrey Loch,High
RES/R/1128216,Alemoor,High
RES/R/1128405,Alloch Dam,Medium
RES/R/1127819,Allt Na Lairige,High
RES/R/1127955,Antermony Loch,High
RES/R/1155131,Ardwell Pond,High
RES/R/1128464,Arnot,High
RES/R/1127820,Aucha Lochy,High
RES/R/1128106,Auchendores,High
RES/R/1127821,Auchengaich,High
RES/R/1128134,Auldmuir,High
RES/R/1127813,Backwater,High
RES/R/1128217,Baddinsgill,High
RES/R/1128127,Badentinan,High
RES/R/1127986,Balgillie,High
RES/R/1128463,Balgray,High
RES/R/1127987,Ballo,High
RES/R/1127956,Balmore Reservoir 3,High
RES/R/1128306,Balthayock Loch,High
RES/R/1128296,Bangour Reservoir,High
RES/R/1128205,Barcraigs,High
RES/R/1128406,Barnes Loch,High
RES/R/1128307,Bayfield Loch,High
RES/R/1128011,Beannachran Reservoir,High
RES/R/1128308,Beecraigs,High
RES/R/1128012,Benevean Reservoir,High
RES/R/1127968,Bennan,High
RES/R/1127822,Beochlich,High
RES/R/1128309,Bertha Loch Reservoir,High
RES/R/1128013,Bhlaraidh Reservoir,High
RES/R/1128148,Birkenburn,High
RES/R/1128310,Birsemore Loch,High
RES/R/1127823,Bishop's Glen,High
RES/R/1127922,Black Esk,High
RES/R/1128286,Black Linn,High
RES/R/1127978,Black Loch,High
RES/R/1128407,Blackhouse Flood Storage Res.,High
RES/R/1127824,Blackmill Loch,Low
RES/R/1128311,Blackwater Reservoir,High
RES/R/1128288,Blairlinnans Res 2,High
RES/R/1128242,Boghead,
RES/R/1127885,Bonaly,High
RES/R/1128312,Bowdenmoor Reservoir,High
RES/R/1128408,Bowfieldmuir Dam,High
RES/R/1128313,Bowhill Upper,High
RES/R/1128471,Brackens,Medium
RES/R/1149150,Bradan CWT,
RES/R/1128314,Brewlands Loch,High
RES/R/1128149,Broadwood Loch,High
RES/R/1127969,Brother Loch,High
RES/R/1139954,Bruntis Loch,High
RES/R/1128260,Buckieburn Reservoir,High
RES/R/1127923,Buittle,High
RES/R/1128261,Burncrooks Reservoir,High
RES/R/1128135,Busbie Muir,High
RES/R/1128136,Caaf,High
RES/R/1127825,Cam Loch,High
RES/R/1127988,Cameron,High
RES/R/1128137,Camphill,High
RES/R/1128243,Camps,High
RES/R/1128315,Caplaw,High
RES/R/1128262,Carbeth Loch,Low
RES/R/1128316,Carlhurlie,High
RES/R/1128289,Carman,High
RES/R/1127989,Carnbee,High
RES/R/1128263,Carron Valley Reservoir,High
RES/R/1127924,Carsfad,High
RES/R/1128218,Castle Lake (Stobo),High
RES/R/1128169,Castlehill Reservoir,High
RES/R/1128128,Chapelton Flood Storage Res.,High
